data,overall,north_east,north,west,capital,south_east,south,east,badakhshan,balkh.x,badghis,baghlan,bamyan.x,farah,faryab,ghor,ghazni.x,herat,helmand,jawzjan,kabul.x,kandahar.x,kunduz.x,kunar,khost,laghman,logar,nangarhar,nuristan,paktya,paktika,samangan,sar_e_pul.x,takhar,uruzgan,maidan_wardak,faiz_abad_badakhshan,baharak_badakhshan,yaftal_e_sufla,yawan,argo,kohestan_badakhshan,keshem,jorm,nahr_e_shahi,mazar_e_sharif,dehdadi,sholgareh,zari,balkh.y,chemtal,qala_e_naw,muqur_badghis,jawand,ab_kamari,pul_e_khumri,doshi,burka,baghlan_e_jadid,nahrin,bamyan.y,bala_buluk,qala_e_kah,maymana,feroz_koh,dawlatyar,shahrak,deh_yak,andar,ghazni.y,muqur_ghazni,giro,qarabagh,waghaz,hirat,injil,guzara,lashkargah,nahr_e_saraj,sheberghan,aqcha,kabul.y,bagrami,deh_sabz,paghman,kandahar.y,daman,maywand,arghandab,zheray,dand,panjwayi,spin_boldak,kunduz.y,chawkay,asad_abad,watapur,shigal,bar_kunar,dara_e_pech,sar_kani,marawara,narang,khas_kunar,nurgal,ghazi_abad,Dara-e-pech,nari,dangam,chapa_dara,matun,mandozayi,gurbuz,tani,terezayi,qalandar,mehtarlam,qarghayi,pul_e_alam,surkh_rod,rodat,jalalabad,behsud,bati_kot,chaparhar,khogyani,achin,nazyan,dur_baba,deh_bala,kama,shinwar,pachir_wa_agam,wama,barg_e_matal,waygal,parun,kamdesh,mandol,nurgaram,gardez,shawak,sayed_karam,samkani,ahmadaba,dand_wa_patan,ziruk,sharan,mata_khan,urgun,barmal,surobi_paktika,zarghun_shahr,yosuf_khel,aybak,hazrat_e_sultan,dara_e_suf_e_bala,dara_e_suf_e_payin,sar_e_pul.y,taloqan,yangi_qala,bangi,baharak,tirinkot,maydan_shahr,nerkh,dawlatabad_balkh,karukh,muhmand_dara,duab,secure_tenure,insecure_tenure,service_inaccess,service_access,adequate_shelter,inadequate_shelter,less_5years,over_5years,mixed_popn,seperate_popn,recent_return,no_recent_return,suburb_location,rural_location,urban_location,small_site,large_site,ghazni,balkh,kabul
From which province have most IDPs in this settlement come in the last 3 months?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baghlan,10.11,35.17,1.22,NA,6.9,3.33,0,0,0,2.94,NA,84.75,NA,NA,0,NA,NA,NA,0,0,9.09,0,3.57,0,6.67,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,2.38,0,9.09,0,0,0,0,NA,NA,NA,NA,90.48,33.33,50,80,100,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,6.25,0,100,NA,0,0,0,0,0,NA,0,0,3.57,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,50,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,9.97,10.93,11.48,5.88,10.53,0,9.09,10.29,10.57,8.84,13.22,8.98,11.85,3.7,12.32,10.82,6.93,0,NA,NA
Faryab,9.39,0,31.71,NA,0,0,0,0,0,22.06,NA,0,NA,NA,100,NA,NA,NA,0,42.86,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,28.57,12.5,9.09,0,100,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,100,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,44.44,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,10.8,6.56,10.53,5.88,9.4,9.52,28.57,6.09,7.86,13.61,12.33,7.19,8.89,2.96,12.68,9.93,6.93,0,NA,NA
Sar-e-Pul,8.84,1.38,28.66,NA,0,0,0,0,0,8.82,NA,3.39,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,95.35,0,0,0,0,0,0,0,NA,NA,0,0,7.14,0,9.09,66.67,0,0,0,NA,NA,NA,NA,4.76,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,95.35,0,0,0,NA,0,0,NA,0,NA,0,NA,11.91,3.28,9.33,7.35,9.02,4.76,6.49,9.24,8.85,8.84,13.66,8.98,3.7,1.48,14.79,9.71,4.95,0,NA,NA
Laghman,7.22,0.69,0,NA,10.34,3.33,0,33.98,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,13.64,0,3.57,0,6.67,84.62,0,5.71,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,6.25,40,0,NA,0,0,0,0,0,NA,0,0,3.57,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,10,0,0,0,NA,NA,100,62.5,0,10,0,0,8.33,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,3.32,13.66,6.46,9.56,7.33,4.76,3.9,7.77,7.62,6.12,5.29,15.57,8.89,14.07,3.17,5.08,16.83,0,NA,NA
Kunduz,6.5,20,1.22,NA,13.79,3.33,0,0,0,2.94,NA,1.69,NA,NA,0,NA,NA,NA,0,0,18.18,0,78.57,0,0,0,0,0,0,11.11,0,NA,0,16.22,0,0,0,0,0,0,NA,NA,0,0,4.76,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,10,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,18.75,20,0,NA,0,0,0,0,0,NA,0,0,78.57,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,20,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,18.18,0,0,NA,0,0,NA,0,NA,0,NA,6.09,7.65,6.94,5.15,6.39,9.52,5.19,6.72,8.35,1.36,3.96,5.39,19.26,0.74,3.17,7.28,2.97,0,NA,NA
Helmand,5.78,0,0.61,NA,0,6.67,34.94,0,0,0,NA,0,NA,NA,0,NA,NA,NA,77.27,0,0,18.33,0,0,0,0,0,0,0,11.11,25,NA,2.33,0,100,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,78.57,75,0,0,0,0,0,NA,21.62,25,25,12.5,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,100,0,NA,50,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2.33,0,0,0,NA,100,0,NA,0,NA,0,NA,4.43,8.2,4.55,9.56,6.02,0,5.19,5.88,5.65,6.12,5.73,0.6,2.22,5.19,7.75,5.96,4.95,0,NA,NA
Takhar,5.6,21.38,0,NA,0,0,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,7.14,0,0,0,0,0,0,0,0,NA,0,78.38,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,7.14,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,75.76,100,100,NA,0,0,NA,0,NA,0,NA,4.71,7.65,5.02,7.35,5.83,0,1.3,6.3,7.62,0,3.08,7.78,4.44,5.19,6.34,6.84,0,0,NA,NA
Nangarhar,5.23,0,0,NA,20.69,3.33,0,21.36,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,27.27,0,0,5,6.67,7.69,0,51.43,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,31.25,20,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,100,NA,NA,10,0,0,0,NA,NA,0,18.75,0,70,100,50,0,NA,66.67,100,100,NA,NA,NA,NA,NA,100,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,100,NA,6.09,3.83,4.55,7.35,5.08,9.52,2.6,5.67,4.67,6.8,6.17,7.78,2.22,14.07,2.46,3.97,10.89,0,NA,NA
Balkh,4.87,0.69,15.85,NA,0,0,0,0,0,36.76,NA,1.69,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,2.33,0,0,0,0,0,0,0,NA,NA,0,0,23.81,62.5,63.64,33.33,0,0,100,NA,NA,NA,NA,0,33.33,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,2.33,0,0,0,NA,0,0,NA,100,NA,0,NA,4.71,5.46,5.98,1.47,4.7,9.52,2.6,5.25,5.41,3.4,5.29,4.19,9.63,8.15,1.06,5.3,2.97,0,NA,NA
Kandahar,4.69,0,0,NA,3.45,0,30.12,0,0,0,NA,0,NA,NA,0,NA,NA,NA,4.55,0,4.55,40,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,7.14,0,0,0,0,20,0,NA,40.54,50,0,25,50,NA,100,100,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,3.88,5.46,4.31,5.88,4.51,9.52,10.39,3.78,3.19,8.84,3.08,3.59,3.7,2.22,6.34,4.42,5.94,0,NA,NA
Badakhshan,4.51,17.24,0,NA,0,0,0,0,100,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,7.14,0,0,0,0,0,0,0,0,NA,0,5.41,0,0,100,100,100,100,NA,NA,100,100,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,7.14,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,6.06,0,0,NA,0,0,NA,0,NA,0,NA,4.99,3.83,3.59,7.35,4.51,4.76,6.49,4.2,4.91,3.4,1.76,2.99,6.67,8.15,1.76,4.64,3.96,0,NA,NA
Kunar,4.51,0,0,NA,0,3.33,0,23.3,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,80,6.67,0,0,22.86,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,100,100,NA,100,50,100,100,100,NA,100,0,NA,0,NA,NA,0,0,0,100,NA,NA,0,0,0,10,0,0,58.33,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,4.99,3.83,4.78,3.68,4.51,4.76,0,5.25,4.91,3.4,3.08,10.18,2.96,11.11,2.11,3.75,7.92,0,NA,NA
Jawzjan,3.97,0,13.41,NA,0,0,0,0,0,8.82,NA,0,NA,NA,0,NA,NA,NA,0,57.14,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,9.52,12.5,0,0,0,100,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,55.56,100,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,4.99,2.19,4.55,2.21,3.95,4.76,3.9,3.99,4.18,3.4,6.61,2.4,2.96,1.48,5.63,4.19,2.97,0,NA,NA
Uruzgan,2.71,0,0,NA,3.45,0,16.87,0,0,0,NA,0,NA,NA,0,NA,NA,NA,4.55,0,4.55,21.67,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,7.14,0,0,0,6.25,0,0,NA,16.22,25,25,37.5,50,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,2.49,2.73,2.15,4.41,2.82,0,2.6,2.73,2.21,4.08,2.2,0.6,0.74,0.74,4.58,3.09,0.99,0,NA,NA
no_consensus,2.53,0,1.22,NA,0,0,6.02,6.8,0,2.94,NA,0,NA,NA,0,NA,NA,NA,4.55,0,0,6.67,0,0,0,5.13,0,14.29,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,4.76,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,12.5,0,0,0,0,0,NA,8.11,0,0,12.5,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,12.5,0,10,0,0,25,NA,33.33,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,3.05,1.09,3.11,0.74,2.44,0,0,2.94,2.21,3.4,3.96,1.8,2.96,5.93,0.7,1.1,8.91,0,NA,NA
Nuristan,2.17,0,0,NA,0,0,0,11.65,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,15,0,0,0,0,100,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,50,0,0,0,NA,0,100,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,100,NA,100,100,NA,100,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,1.66,3.28,2.87,0,2.26,0,0,2.52,2.21,2.04,2.2,1.2,0.74,5.19,1.41,2.21,1.98,0,NA,NA
Paktika,1.81,0,0,NA,0,33.33,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,40,0,0,0,0,22.22,50,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,30,50,100,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,40,NA,0,0,0,0,NA,50,NA,100,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,2.22,1.09,1.44,2.94,1.88,0,1.3,1.89,1.23,3.4,1.32,0,0.74,2.96,1.76,2.21,0,0,NA,NA
Samangan,1.62,1.38,3.66,NA,3.45,0,0,0,0,8.82,NA,3.39,NA,NA,0,NA,NA,NA,0,0,4.55,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,11.9,0,9.09,0,0,0,0,NA,NA,NA,NA,2.38,0,0,10,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,6.25,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,1.66,1.64,1.67,1.47,1.5,4.76,0,1.89,0.98,3.4,1.32,2.4,1.48,2.96,1.06,1.55,1.98,0,NA,NA
Logar,1.26,0,0,NA,13.79,10,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,6.67,0,100,0,0,22.22,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,10,0,0,0,NA,NA,0,0,100,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,40,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,1.66,0.55,1.44,0.74,1.13,4.76,3.9,0.84,1.23,1.36,0.88,1.8,0,0.74,2.11,1.32,0.99,0,NA,NA
Paktya,1.08,0,0,NA,3.45,13.33,0,0.97,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,4.55,0,0,0,13.33,0,0,2.86,0,11.11,25,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,6.25,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,20,0,0,0,NA,NA,0,0,0,0,0,0,8.33,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,100,0,0,0,NA,0,NA,0,100,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,1.39,0.55,0.48,2.94,0.94,4.76,1.3,1.05,0.98,1.36,1.32,1.2,0.74,0.74,1.41,1.1,0.99,0,NA,NA
Farah,0.72,0,0,NA,0,0,4.82,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,6.67,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,8.11,0,25,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.83,0,0,2.94,0.75,0,0,0.84,0.74,0.68,0,0,0,0.74,1.06,0.66,0.99,0,NA,NA
Kapisa,0.72,0,0,NA,6.9,0,0,1.94,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,9.09,0,0,0,0,2.56,0,2.86,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,12.5,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,6.25,0,0,0,50,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.55,1.09,0.72,0.74,0.56,4.76,0,0.84,0.74,0.68,0.88,1.2,1.48,0.74,0.35,0.44,1.98,0,NA,NA
Parwan,0.72,2.07,0,NA,0,3.33,0,0,0,0,NA,5.08,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.11,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2.38,33.33,50,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,100,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.28,1.64,0.72,0.74,0.75,0,0,0.84,0.98,0,0.88,1.2,0,0,1.41,0.88,0,0,NA,NA
Daykundi,0.54,0,1.83,NA,0,0,0,0,0,4.41,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,4.76,12.5,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.83,0,0.72,0,0.56,0,0,0.63,0.49,0.68,0.44,1.2,2.22,0,0,0.44,0.99,0,NA,NA
Khost,0.54,0,0,NA,0,10,0,0,0,0,NA,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,13.33,0,0,0,0,11.11,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,NA,NA,20,0,0,0,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0,0,100,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,NA,0,NA,0,NA,0.83,0,0.48,0.74,0.38,4.76,0,0.63,0.25,1.36,0,0,0,0,1.06,0.66,0,0,NA,NA
