district,nb_sites,idp_hhs,idp_indvl,prolonged_hhs,prolonged_indvl,protracted_hhs,protracted_indvl,refugee_hhs,refugee_indvl,returnee_hhs,returnee_indvl,economic_hhs,economic_indvl,nomad_hhs,nomad_indvl,host_hhs,host_indvl,iset_population_discrete,iset_population_mixed,location_urban,location_suburban,location_rural,idp_mixed,idp_discrete,prolong_mixed,prolong_discrete,protract_mixed,protract_discrete,refugee_mixed,refugee_discrete,returnee_mixed,returnee_discrete,economic_mixed,economic_discrete,nomad_mixed,nomad_discrete,migrant_population.idp,migrant_population.prolong,migrant_population.protract,migrant_population.refugee,migrant_population.returnee,relocate_plan_yes,relocate_plan_no,relocate_plan_dk,relocate_pushpull_1_label,relocate_pushpull_1_pct,relocate_pushpull_2_label,relocate_pushpull_2_pct,relocate_pushpull_3_label,relocate_pushpull_3_pct,five_years_yes,five_years_no,five_years_dk,idp_3mo_hhs,idp_prov_origin_1_label,idp_prov_origin_1_pct,idp_prov_origin_2_label,idp_prov_origin_2_pct,idp_prov_origin_3_label,idp_prov_origin_3_pct,returnee_3mo_hhs,returnee_origin_1_label,returnee_origin_1_pct,returnee_origin_2_label,returnee_origin_2_pct,returnee_origin_3_label,returnee_origin_3_pct,shelter_type_1_label,shelter_type_1_pct,shelter_type_2_label,shelter_type_2_pct,shelter_type_3_label,shelter_type_3_pct,tenure_insecure,hh_rooms,accom_1_label,accom_1_pct,accom_2_label,accom_2_pct,accom_3_label,accom_3_pct,host_relation_positive,host_relation_neutral,host_relation_negative,host_relation_prefer_not,eviction_threat_yes,eviction_threat_no,eviction_threat_dk,eviction_threat_local_auth,eviction_threat_gvt,eviction_threat_local_host_comm,eviction_threat_local_ot,comm_represent_yes,comm_represent_no,comm_represent_dk,relocation_yes,relocation_no,site_land_yes,site_land_no,site_land_dk,site_land_owner_gvt,site_land_owner_prv,site_land_owner_un,site_land_owner_common,site_land_owner_ot,water_distance_fs,water_source_fs,water_barrier_1_label,water_barrier_1_pct,water_barrier_2_label,water_barrier_2_pct,water_barrier_3_label,water_barrier_3_pct,health_distance_fs,health_satisfy_constraint_yes,health_satisfy_constraint_no,health_satisfy_constraint_dk,health_unsatisfy_constraint.crowded,health_unsatisfy_constraint.hours,health_unsatisfy_constraint.expensive,health_unsatisfy_constraint.drug_unavail,health_unsatisfy_constraint.staff_behave,health_unsatisfy_constraint.other,health_unsatisfy_constraint.dont_know,mhpss_aware_yes,mhpss_aware_no,mhpss_aware_dk,health_barrier_1_label,health_barrier_1_pct,health_barrier_2_label,health_barrier_2_pct,health_barrier_3_label,health_barrier_3_pct,safe_likert_verygood,safe_likert_good,safe_likert_neutral,safe_likert_poor,safe_likert_verypoor,move_free_m_yes,move_free_m_no,move_free_m_dk,move_why_m_1_label,move_why_m_1_pct,move_why_m_2_label,move_why_m_2_pct,move_why_m_3_label,move_why_m_3_pct,move_free_f_yes,move_free_f_no,move_free_f_dk,move_why_f_1_label,move_why_f_1_pct,move_why_f_2_label,move_why_f_2_pct,move_why_f_3_label,move_why_f_3_pct,livelihood_1_label,livelihood_1_pct,livelihood_2_label,livelihood_2_pct,livelihood_3_label,livelihood_3_pct,food_source_1_label,food_source_1_pct,food_source_2_label,food_source_2_pct,food_source_3_label,food_source_3_pct,vul_index_low,vul_index_moderate,vul_index_moderate_high,vul_index_high,covid_aware_yes,covid_aware_part,covid_aware_no,covid_concern_yes,covid_concern_no,covid_concern_dk,covid_info_1_label,covid_info_1_pct,covid_info_2_label,covid_info_2_pct,covid_info_3_label,covid_info_3_pct,covid_safeprac_1_label,covid_safeprac_1_pct,covid_safeprac_2_label,covid_safeprac_2_pct,covid_safeprac_3_label,covid_safeprac_3_pct,aid_govt_yes,aid_govt_no,aid_govt_dk,aid_services_1_label,aid_services_1_pct,aid_services_2_label,aid_services_2_pct,aid_services_3_label,aid_services_3_pct,vul_chronic_fs,soap_avail_yes,soap_avail_no,soap_avail_dk,using_public_facility,handwash_crowded_yes,handwash_crowded_no,handwash_crowded_dk,water_point_yes,water_point_no_further,water_point_no_none,tap_sanitize_all,tap_sanitize_some,tap_sanitize_no,tap_sanitize_dk,safety_change_increase,safety_change_decrease,safety_change_no,safety_change_dk,covid_coping_1_label,covid_coping_1_pct,covid_coping_2_label,covid_coping_2_pct,covid_coping_3_label,covid_coping_3_pct,mhpss_secondary_1_label,mhpss_secondary_1_pct,mhpss_secondary_2_label,mhpss_secondary_2_pct,mhpss_secondary_3_label,mhpss_secondary_3_pct,vul_sleeping_prop,covid_shelter_1_label,covid_shelter_1_pct,covid_shelter_2_label,covid_shelter_2_pct,covid_shelter_3_label,covid_shelter_3_pct,market_soldout_yes,market_soldout_no,market_soldout_dk,soldout_item_1_label,soldout_item_1_pct,soldout_item_2_label,soldout_item_2_pct,soldout_item_3_label,soldout_item_3_pct,work_change_fullstop,work_change_partstop,work_change_nostop,school_alternatives.other_facility,school_alternatives.home_school,school_alternatives.other,school_alternatives.no,school_alternatives.dont_know
deh_sabz,2,10,70,40,240,70,500,0,0,32,222,0,0,0,0,0,0,100,0,100,0,0,0,50,0,50,NaN,100,0,0,NaN,100,0,0,0,0,50,50,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,50,50,0,2,Baghlan,100,Badakhshan,0,Badghis,0,7,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,50,2,Own shelter WITH documentation,50,Hosted in shelter by friends/family for free,50,Own shelter WITHOUT documentation,0,50,50,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,Long line/wait to access waterpoint,50,Unpleasant colour/taste/smell of water,50,Waterpoint has low capacity (runs out of water often),0,100,50,50,0,100,0,100,0,100,0,0,0,100,0,Cost of transport,50,Cost of care/ treatment,50,Cost of medicines,50,0,50,50,0,0,100,0,0,NA,NA,NA,NA,NA,NA,50,50,0,Government restrictions related to coronavirus,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,50,Purchase in markets outside the settlement,50,NGO food distributions,0,0,0,100,0,100,0,0,100,0,0,Community or religious leaders,100,"Media (TV, radio)",100,Government,50,Wash hands frequently,100,Avoid large crowds and gatherings,100,Practice physical distancing,50,0,100,0,NA,NA,NA,NA,NA,NA,0,100,0,0,0,NA,NA,NA,100,0,0,0,0,100,0,50,0,50,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,50,Community violence,50,100,Provision of tents to accommodate sick persons inside the site,50,Relocation of unsick family members to other relatives,50,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,100,0,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,50,50,0,0,50,0,50,0
deh_yak,1,0,0,1200,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,100,NaN,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,0,Better security where they are moving,100,Intimidation and harassment by host community/local authorities,0,Land dispute forced them off land / shelter,0,0,100,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,2,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,100,0,0,100,0,0,0,100,0,0,Concern for physical safety,100,Don't know where to go,0,Cost of transport,0,0,0,0,0,100,0,100,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,0,100,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Farming (cash crop),100,Small business / sale of goods or services,0,Unskilled daily labour (without contract),0,Purchase in markets inside the settlement,100,NGO food distributions,0,Purchase in markets outside the settlement,0,0,0,100,0,100,0,0,100,0,0,"Media (TV, radio)",100,Family and friends,100,Government,0,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,0,0,100,0,NA,NA,NA,NA,NA,NA,100,100,0,0,0,NA,NA,NA,0,100,0,NA,NA,NA,NA,100,0,0,0,"Increased substance intake (e.g. drugs, alcohol etc)",100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,100,Relocation of unsick family members to other relatives,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,0,Provision of tents to accommodate sick persons inside the site,0,100,0,0,Food,100,Cooking / kitchen materials,100,Soap,0,0,100,0,0,0,0,100,0
dehdadi,14,1702,9300,2995,16380,14200,67320,0,0,59,1885,120,350,0,0,5735,23800,43,57,21,0,71,77.78,71.43,87.5,85.71,70,57.14285714285714,0,0,50,44.44,15.38,8.33,0,0,85.71,92.86,78.57,0,64.29,21,79,0,No work opportunities available here,100,Better access to services where they are moving,100,Better opportunity for jobs,100,71,29,0,592,Baghlan,9,Faryab,9,Samangan,9,15,Iran,89,Pakistan,11,Tajikistan,0,Permanent shelter (mud),79,Tents (emergency shelter),14,Permanent shelter (brick),7,36,1.8571428571428572,Own shelter WITH documentation,64,Staying in shelter for free WITH owner's consent,21,Rent shelter,14,86,14,0,0,7,93,0,0,0,100,0,93,7,0,0,100,100,0,0,7,93,0,0,0,7,0,Long line/wait to access waterpoint,57,Waterpoint has low capacity (runs out of water often),50,Unpleasant colour/taste/smell of water,36,57,85,8,8,0,0,0,100,0,0,0,0,100,0,Cost of medicines,100,Cost of care/ treatment,79,Cost of transport,64,0,79,14,7,0,93,7,0,Government restrictions related to coronavirus,100,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,93,7,0,Government restrictions related to coronavirus,100,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Unskilled daily labour (without contract),43,Farming (cash crop),36,Small business / sale of goods or services,21,Purchase in markets outside the settlement,86,Purchase in markets inside the settlement,64,Own production,57,0,7,86,7,100,0,0,100,0,0,"Media (TV, radio)",93,Text message alerts,79,Government,64,Wash hands frequently,93,Avoid large crowds and gatherings,93,Practice physical distancing,86,7,93,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,78.57142857142857,86,14,0,21.428571428571427,0,100,0,100,0,0,0,0,100,0,14,14,71,0,No unusual behavior,93,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",7,Social withdrawal,0,Increased poverty/no income,100,Increased gender-based violence,50,Community violence,50,77.77777777777779,Relocation of unsick family members to other relatives,50,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,29,Provision of tents to accommodate sick persons inside the site,14,50,50,0,Food,100,Hand sanitizer and other hygiene materials,29,Soap,0,29,71,0,28.57,50,0,50,0
doshi,6,490,2800,290,1830,285,1540,0,0,74,410,355,1900,0,0,4360,30100,17,83,83,0,0,66.67,0,50,0,60,33.33333333333333,0,0,66.67,0,20,20,0,0,66.67,50,66.67,0,66.67,0,100,0,NA,NA,NA,NA,NA,NA,67,33,0,102,Baghlan,33,Parwan,33,Badakhshan,0,10,Iran,75,Pakistan,25,Tajikistan,0,Permanent shelter (mud),83,Damaged House,17,Tents (emergency shelter),0,67,2.1666666666666665,Own shelter WITH documentation,33,Staying in shelter for free WITH owner's consent,33,Own shelter WITHOUT documentation,17,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,17,83,100,0,0,33,67,0,0,0,17,0.3333333333333333,Unpleasant colour/taste/smell of water,67,Long line/wait to access waterpoint,50,Waterpoint has low capacity (runs out of water often),50,67,50,50,0,100,0,100,50,50,0,0,0,100,0,Cost of transport,50,Cost of care/ treatment,50,Cost of medicines,50,0,50,50,0,0,83,17,0,Government restrictions related to coronavirus,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,83,17,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),83,Farming (cash crop),17,Small business / sale of goods or services,0,Purchase in markets outside the settlement,83,Purchase in markets inside the settlement,50,Own production,33,0,50,50,0,100,0,0,100,0,0,Community or religious leaders,67,"Media (TV, radio)",67,Text message alerts,67,Wash hands frequently,100,Avoid large crowds and gatherings,83,Practice physical distancing,67,17,83,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,66.66666666666666,100,0,0,16.666666666666664,0,100,0,83,17,0,0,20,80,0,17,33,50,0,Angry / aggressive behaviour,33,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",33,No unusual behavior,33,Increased poverty/no income,100,Lack of access for NGOs to provide services,50,Community violence,33,25,Relocation of unsick family members to other relatives,33,No preference for shelter aid,33,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,17,40,60,0,Food,100,Soap,0,Hand sanitizer and other hygiene materials,0,33,50,17,20,80,0,20,0
duab,1,9,70,7,60,10,100,0,0,0,0,200,1000,0,0,400,3000,0,100,0,0,100,100,NaN,100,NaN,100,NaN,0,0,0,0,100,NaN,0,0,100,100,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,1,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,0,0,0,100,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,100,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,NA,NA,NA,NA,NA,NA,0,100,0,0,100,0,0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,NA,NA,NA,NA,NA,NA,0,0,100,0,0,NA,NA,NA,100,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,0,100,0,0,0
dur_baba,4,0,0,500,3500,600,3650,0,0,300,2050,0,0,0,0,2510,17650,0,100,0,0,100,0,0,100,NaN,100,NaN,0,0,100,NaN,0,0,0,0,0,100,100,0,100,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,50,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,3.5,Own shelter WITH documentation,75,Own shelter WITHOUT documentation,25,Rent shelter,0,100,0,0,0,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,25,0,Long line/wait to access waterpoint,50,Waterpoints are unsafe,50,Waterpoints are too far,50,0,50,50,0,100,0,50,100,0,0,0,50,50,0,Cost of care/ treatment,75,Cost of medicines,75,Cost of transport,50,100,0,0,0,0,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Unskilled daily labour (without contract),75,Small business / sale of goods or services,25,Skilled daily labour / (without contract),0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,50,Provided from family and friends in the area,50,0,0,100,0,100,0,0,100,0,0,Government,75,"Media (TV, radio)",75,Community or religious leaders,50,Wash hands frequently,100,Practice physical distancing,75,Self-isolate if experiencing symtoms,75,25,75,0,Information on the coronavirus preventive measures at COMMUNITY level,100,Information on the coronavirus preventive measures at HOUSEHOLD level,0,Councelling for vulnerable residents,0,25,25,75,0,75,100,0,0,75,25,0,33,0,67,0,NA,NA,NA,NA,Social withdrawal,100,Angry / aggressive behaviour,75,Dangerous/risky behaviours,75,Increased poverty/no income,100,Increased gender-based violence,75,Lack of access for NGOs to provide services,75,0,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,50,Provision of tents to accommodate sick persons inside the site,25,"Construction of a large temporary shelter (plastic tarpaulin, plywood, etc.) for 15-30 people to accommodate all sick individuals within the settlement",25,25,75,0,Food,100,Soap,100,Hand sanitizer and other hygiene materials,100,75,25,0,33.33,0,0,66.67,0
faiz_abad_badakhshan,15,454,2390,928,6320,3735,21690,0,0,25,115,3759,15540,0,0,9941,63760,27,73,0,0,7,46.15,22.22,41.67,30,84.62,50,0,0,13.33,0,61.54,28.57,0,0,53.33,53.33,86.67,0,13.33,20,80,0,No work opportunities available here,100,Moving to be with family / friends,67,Better security where they are moving,33,73,27,0,150,Badakhshan,100,Badghis,0,Baghlan,0,3,Iran,100,Pakistan,0,Tajikistan,0,Permanent shelter (mud),80,Permanent shelter (brick),7,Unfinished shelter (house),7,27,2.533333333333333,Own shelter WITH documentation,67,Staying in shelter for free WITH owner's consent,20,Own shelter WITHOUT documentation,7,100,0,0,0,13,80,7,50,0,50,0,93,7,0,47,53,100,0,0,13,87,0,0,0,33,0.26666666666666666,Long line/wait to access waterpoint,71,Waterpoints are too far,50,Waterpoint has low capacity (runs out of water often),29,33,62,38,0,100,0,60,100,40,0,0,33,67,0,Cost of medicines,67,Cost of transport,60,Insufficient capacity of health centre,53,0,47,13,20,20,87,13,0,Fear for Personal Safety,100,Debt Related Concerns,50,Discrimination / harrassment from host community,0,87,13,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,50,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),93,Borrowing / Loans / Humanitarian aid,7,Small business / sale of goods or services,0,Purchase in markets inside the settlement,80,Purchase in markets outside the settlement,27,Provided from family and friends in the area,13,0,40,60,0,100,0,0,100,0,0,"Media (TV, radio)",100,Text message alerts,80,Community or religious leaders,47,Wash hands frequently,100,Self-isolate if experiencing symtoms,73,Avoid large crowds and gatherings,60,67,33,0,Information on the coronavirus preventive measures at COMMUNITY level,80,Food distribution,20,Information on the coronavirus preventive measures at HOUSEHOLD level,0,60,73,27,0,33.33333333333333,60,40,0,60,27,13,22,0,78,0,47,33,20,0,Angry / aggressive behaviour,60,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",27,No unusual behavior,20,Increased poverty/no income,100,Increased insecurity,20,Community violence,13,50,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,53,Renting of hotel/hostel to isolate sick individuals for 14 days,40,Provision of tents to accommodate sick persons inside the site,7,93,7,0,Food,100,Hand sanitizer and other hygiene materials,36,Soap,7,47,53,0,33.33,33.33,0,41.67,0
feroz_koh,9,0,0,0,0,2115,13090,0,0,0,0,0,0,0,0,1020,6500,89,11,44,0,22,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),89,Transitional Shelter,11,Tents (emergency shelter),0,33,1.8888888888888888,Own shelter WITH documentation,78,Rent shelter,11,Staying in shelter for free WITH owner's consent,11,0,100,0,0,0,100,0,NaN,NaN,NaN,NaN,89,11,0,22,78,100,0,0,11,89,0,0,0,0,0,No barriers,89,Long line/wait to access waterpoint,11,Unpleasant colour/taste/smell of water,0,56,78,22,0,100,100,100,100,50,0,0,0,100,0,Cost of transport,44,Long travel time,44,Insufficient capacity of health centre,44,67,33,0,0,0,89,11,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,67,33,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,Unskilled daily labour (without contract),100,Small business / sale of goods or services,0,Skilled daily labour / (without contract),0,Purchase in markets outside the settlement,78,Purchase in markets inside the settlement,44,Own production,11,0,44,44,11,100,0,0,100,0,0,Text message alerts,100,"Media (TV, radio)",67,Family and friends,67,Self-isolate if experiencing symtoms,100,Avoid large crowds and gatherings,89,Do not touch your face,56,89,11,0,Information on the coronavirus preventive measures at COMMUNITY level,88,Information on the coronavirus preventive measures at HOUSEHOLD level,12,Councelling for vulnerable residents,0,33.33333333333333,33,67,0,100,22,78,0,100,0,0,0,33,67,0,100,0,0,0,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased insecurity,33,Community violence,22,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,89,Provision of tents to accommodate sick persons inside the site,11,Relocation of unsick family members to other relatives,0,44,56,0,Food,100,Blankets and quilts,100,Fuel / Heating materials,75,100,0,0,0,0,0,100,0
gardez,9,770,2850,855,5155,1205,7530,0,0,50,160,0,0,0,0,830,6185,44,56,67,0,11,42.86,33.33,80,80,71.43,50,0,0,12.5,12.5,0,0,0,0,55.56,88.89,77.78,0,22.22,0,100,0,NA,NA,NA,NA,NA,NA,67,0,33,268,Logar,40,Paktika,40,Badakhshan,0,35,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),89,Makeshift Shelter,11,Tents (emergency shelter),0,22,4.333333333333333,Rent shelter,89,Own shelter WITHOUT documentation,11,Own shelter WITH documentation,0,56,22,0,22,0,78,22,NaN,NaN,NaN,NaN,89,11,0,22,78,56,11,33,20,80,0,0,0,11,0.2222222222222222,Waterpoint has low capacity (runs out of water often),57,Cost is prohibitive i.e. water trucking,43,Waterpoints are too far,14,44,20,80,0,75,100,50,100,50,0,0,56,33,11,Cost of care/ treatment,86,Insufficient capacity of health centre,71,Cost of transport,57,11,67,11,11,0,100,0,0,NA,NA,NA,NA,NA,NA,78,22,0,Discrimination / harrassment from host community,100,Socio-cultural barriers between settlement members and host community,100,Government restrictions related to coronavirus,100,Unskilled daily labour (without contract),78,Skilled daily labour / (without contract),11,Farming (cash crop),11,Purchase in markets inside the settlement,86,Purchase in markets outside the settlement,71,Own production,57,22,33,44,0,100,0,0,100,0,0,"Media (TV, radio)",86,Government,71,Healthcare workers,71,Wash hands frequently,100,Practice physical distancing,100,Wear masks and gloves in general,57,67,33,0,Information on the coronavirus preventive measures at HOUSEHOLD level,67,Councelling for vulnerable residents,17,Provision of additional Health services,17,55.55555555555556,100,0,0,55.55555555555556,67,33,0,89,11,0,38,0,50,12,33,33,0,33,No unusual behavior,100,Social withdrawal,0,Angry / aggressive behaviour,0,Increased poverty/no income,100,Increased health issues,43,Increased insecurity,43,0,Provision of tents to accommodate sick persons inside the site,56,Renting of hotel/hostel to isolate sick individuals for 14 days,33,Relocation of unsick family members to other relatives,11,44,56,0,Food,75,Soap,75,Hand sanitizer and other hygiene materials,75,67,33,0,44.44,11.11,0,33.33,22.22
ghazi_abad,4,101,844,230,1780,310,2610,0,0,30,210,112,902,0,0,1212,10064,0,100,0,0,100,100,NaN,75,0,100,NaN,0,0,25,0,100,NaN,0,0,100,75,100,0,25,0,100,0,NA,NA,NA,NA,NA,NA,100,0,0,25,Nuristan,100,Badakhshan,0,Badghis,0,0,Pakistan,100,Iran,0,Tajikistan,0,Permanent shelter (mud),100,Tents (emergency shelter),0,Makeshift Shelter,0,0,1.25,Own shelter WITH documentation,100,Own shelter WITHOUT documentation,0,Rent shelter,0,25,50,0,25,0,100,0,NaN,NaN,NaN,NaN,100,0,0,0,100,100,0,0,0,100,0,0,0,0,0.25,Long line/wait to access waterpoint,100,Waterpoints are too far,33,Unpleasant colour/taste/smell of water,0,50,75,25,0,100,0,0,100,0,0,0,0,100,0,Cost of medicines,33,Long travel time,33,Insufficient capacity of health centre,33,75,0,0,0,25,100,0,0,NA,NA,NA,NA,NA,NA,100,0,0,NA,NA,NA,NA,NA,NA,Farming (cash crop),75,Unskilled daily labour (without contract),25,Small business / sale of goods or services,0,Purchase in markets inside the settlement,100,Purchase in markets outside the settlement,67,NGO food distributions,0,25,0,75,0,100,0,0,100,0,0,Government,67,Community or religious leaders,67,"Media (TV, radio)",33,Wash hands frequently,100,Practice physical distancing,100,Self-isolate if experiencing symtoms,100,0,100,0,NA,NA,NA,NA,NA,NA,50,25,50,0,50,0,100,0,100,0,0,0,0,100,0,NA,NA,NA,NA,Social withdrawal,100,Dangerous/risky behaviours,67,Angry / aggressive behaviour,33,Increased poverty/no income,67,Increased gender-based violence,33,Increased health issues,33,100,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,100,Provision of tents to accommodate sick persons inside the site,0,Relocation of unsick family members to other relatives,0,75,25,0,Food,100,Soap,100,Cooking / kitchen materials,100,75,25,0,0,100,0,0,0
ghazni,8,0,0,180,1080,4892,23352,0,0,0,0,0,0,0,0,1255,7710,12,88,100,0,0,0,0,28.57,16.67,71.43,33.33333333333333,0,0,0,0,0,0,0,0,0,37.5,75,0,0,50,50,0,Better opportunity for jobs,75,Better security where they are moving,50,Land dispute forced them off land / shelter,25,100,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,Permanent shelter (mud),88,Permanent shelter (brick),12,Tents (emergency shelter),0,25,3,Rent shelter,62,Own shelter WITH documentation,25,Own shelter WITHOUT documentation,12,75,25,0,0,12,88,0,0,0,100,0,100,0,0,0,100,88,12,0,0,86,14,0,0,12,0,No barriers,88,Waterpoints are too far,12,Cost is prohibitive i.e. water trucking,12,88,57,43,0,0,0,0,100,0,0,0,38,62,0,No barriers,71,Cost of medicines,14,Insufficient capacity of health centre,14,38,25,0,12,25,88,12,0,Fear for Personal Safety,100,Discrimination / harrassment from host community,0,Socio-cultural barriers between settlement members and host community,0,75,25,0,Fear for Personal Safety,100,Socio-cultural barriers between settlement members and host community,50,Discrimination / harrassment from host community,0,Unskilled daily labour (without contract),62,Small business / sale of goods or services,25,Farming (livestock),12,Purchase in markets inside the settlement,88,Purchase in markets outside the settlement,62,NGO food distributions,0,0,62,25,12,100,0,0,88,12,0,"Media (TV, radio)",88,Healthcare workers,38,Community or religious leaders,25,Self-isolate if experiencing symtoms,75,Wash hands frequently,62,Practice physical distancing,50,25,75,0,Information on the coronavirus preventive measures at HOUSEHOLD level,50,Food distribution,50,Information on the coronavirus preventive measures at COMMUNITY level,0,62.5,75,12,12,12.5,0,100,0,88,12,0,29,14,29,29,80,20,0,0,Social withdrawal,50,"Multiple unexplained physical complaints (headaches, stomach pains etc.)",38,"Increased substance intake (e.g. drugs, alcohol etc)",12,Increased poverty/no income,100,Increased gender-based violence,0,Increased health issues,0,25,Provision of tents to accommodate sick persons inside the site,50,Relocation of unsick family members to other relatives,38,Tools and materials (in cash/ in kind) to rapidly extend shelters to accommodate the sick,12,50,50,0,Food,100,Cooking / kitchen materials,50,Soap,0,62,38,0,37.5,12.5,0,62.5,0
